Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,carbs (product.metafields.custom.carbs),fats (product.metafields.custom.fats),ingredients (product.metafields.custom.ingredients),protein (product.metafields.custom.protein),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
butter-chicken,Butter Chicken,<p><strong>Butter Chicken</strong></p>,Balanced Bites,,Prepared Meal,"high-protein, indian, meal",false,Title,Default Title,,,,,,,,BUTTERCHICKEN,0.0,,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0027_a481523e-b7b9-47c2-87d9-9eb83b71a53c.jpg?v=1777381768,1,Butter Chicken — photo 1,false,,,,,,,,kg,,,draft
chicken-shawarma,Chicken Shawarma,<h2>Chicken Shawarma</h2><p>High-protein keto meal.</p>,Balanced Bites,,Meal,"",true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,150.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
shish-tawook,Shish Tawook,<h2>Shish Tawook</h2><p>High-protein keto meal.</p>,Balanced Bites,,Meal,"",true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,150.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
chicken-fajita,Chicken Fajita,<p><strong>Chicken Fajita</strong></p>,Balanced Bites,,Prepared Meal,"high-protein, meal, mexican",false,Title,Default Title,,,,,,,,CHICKENFAJITA,0.0,,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0031_04a56691-d08e-4b42-968f-284289411580.jpg?v=1777381768,1,Chicken Fajita — photo 1,false,,,,,,,,kg,,,draft
keto-chicken-sweet-and-sour,Keto Chicken Sweet and Sour,<p><strong>Keto Chicken Sweet and Sour</strong></p>,Balanced Bites,,Prepared Meal,"high-protein, keto, meal",false,Title,Default Title,,,,,,,,KETOCHICKENSWEETANDS,0.0,,99,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0033_753f040a-5520-4fcd-8998-063450a9e2b4.jpg?v=1777381765,1,Keto Chicken Sweet and Sour — photo 1,false,,,,,,,,kg,,,draft
basbosa,Basbosa,<h2>Basbosa</h2>,Balanced Bites,Uncategorized,Dessert,"",true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,80.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Basbosa2pieces.jpg?v=1775781090,1,"",false,,,,,,,,kg,,,active
basbosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Basbosaplate.jpg?v=1775781090,2,"",,,,,,,,,,,,
basbosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Basbosa.jpg?v=1775781090,3,"",,,,,,,,,,,,
coconut-truffles,Coconut Truffles,<h2>Coconut Truffles</h2>,Balanced Bites,Uncategorized,Dessert,"",true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,95.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/CoconutTruffles.jpg?v=1775782010,1,"",false,,,,,,,,kg,,,active
chocolate-truffles,Chocolate Truffles,<h2>Chocolate Truffles</h2>,Balanced Bites,Uncategorized,Dessert,"",true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,95.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/ChocolateTruffles.jpg?v=1775782058,1,"",false,,,,,,,,kg,,,active
