Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,carbs (product.metafields.custom.carbs),fats (product.metafields.custom.fats),ingredients (product.metafields.custom.ingredients),protein (product.metafields.custom.protein),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
basmati-rice,Basmati Rice,<p><strong>Basmati Rice</strong></p>,Balanced Bites,,Side Dish,"grain, rice, side",true,Title,Default Title,,,,,,,,BASMATIRICE,0.0,,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Basmati_Rice.png,1,Basmati Rice — photo 1,false,,,,,,,,kg,,,active
beef-shawarma,Beef Shawarma,<p><strong>Beef Shawarma</strong></p>,Balanced Bites,,Prepared Meal,"high-protein, meal, shawarma",true,Title,Default Title,,,,,,,,BEEFSHAWARMA,0.0,,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0028.jpg,1,Beef Shawarma — photo 1,false,,,,,,,,kg,,,active
keto-beef-teriyaki,Keto Beef Teriyaki,<h2>Keto Beef Teriyaki</h2><p>High-protein keto meal.</p>,Balanced Bites,,Meal,,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,150.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
keto-beef-stroganoff,Keto Beef Stroganoff,<h2>Keto Beef Stroganoff</h2><p>High-protein keto meal.</p>,Balanced Bites,,Meal,,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,150.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
keto-chicken-teriyaki,Keto Chicken Teriyaki,<h2>Keto Chicken Teriyaki</h2><p>High-protein keto meal.</p>,Balanced Bites,,Meal,,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,150.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
chicken-kofta-with-caramelized-onions,Chicken Kofta with Caramelized Onions,<h2>Chicken Kofta with Caramelized Onions</h2><p>High-protein keto meal.</p>,Balanced Bites,,Meal,,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,150.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
butter-chicken,Butter Chicken,<p><strong>Butter Chicken</strong></p>,Balanced Bites,,Prepared Meal,"high-protein, indian, meal",true,Title,Default Title,,,,,,,,BUTTERCHICKEN,0.0,,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0027.jpg,1,Butter Chicken — photo 1,false,,,,,,,,kg,,,active
chicken-shawarma,Chicken Shawarma,<h2>Chicken Shawarma</h2><p>High-protein keto meal.</p>,Balanced Bites,,Meal,,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,150.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
chicken-fajita,Chicken Fajita,<p><strong>Chicken Fajita</strong></p>,Balanced Bites,,Prepared Meal,"high-protein, meal, mexican",true,Title,Default Title,,,,,,,,CHICKENFAJITA,0.0,,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0031.jpg,1,Chicken Fajita — photo 1,false,,,,,,,,kg,,,active
keto-chicken-sweet-and-sour,Keto Chicken Sweet and Sour,<p><strong>Keto Chicken Sweet and Sour</strong></p>,Balanced Bites,,Prepared Meal,"high-protein, keto, meal",true,Title,Default Title,,,,,,,,KETOCHICKENSWEETANDS,0.0,,99,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0033.jpg,1,Keto Chicken Sweet and Sour — photo 1,false,,,,,,,,kg,,,active
basbosa,Basbosa,<h2>Basbosa</h2>,Balanced Bites,Uncategorized,Dessert,,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,80.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Basbosa_-_Basbosa_2_pieces.jpg,1,,false,,,,,,,,kg,,,active
basbosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Basbosa_-_Basbosa_plate.jpg,2,,,,,,,,,,,,,
basbosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Basbosa_-_Basbosa.jpg,3,,,,,,,,,,,,,
coconut-truffles,Coconut Truffles,<h2>Coconut Truffles</h2>,Balanced Bites,Uncategorized,Dessert,,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,95.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Truffles_-_Coconut_Truffles.jpg,1,,false,,,,,,,,kg,,,active
